Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1990-10-05,06:14:00,Long March 2C,FSW-1 No.3,Active,30.8,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-10-06,11:47:00,Space Shuttle Discovery,STS-41,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-11-15,23:48:00,Space Shuttle Atlantis,STS-38,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-12-02,06:49:00,Space Shuttle Columbia,STS-35,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05,14:22:00,Space Shuttle Atlantis,STS-37,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28,11:33:00,Space Shuttle Discovery,STS-39,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05,13:24:00,Space Shuttle Columbia,STS-40,Retired,450.0,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1991-07-21,17:33:00,Pegasus/HAPS,7 Microsats,Retired,40.0,Partial Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-08-02,15:02:00,Space Shuttle Atlantis,STS-43,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-09-12,23:11:00,Space Shuttle Discovery,STS-48,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24,23:44:00,Space Shuttle Atlantis,STS-44,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-01-22,14:52:00,Space Shuttle Discovery,STS-42,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-03-24,13:13:00,Space Shuttle Atlantis,STS-45,Retired,450.0,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1992-04-25,08:53:00,Titan II(23)G,USA-81,Retired,35.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-05-07,23:40:00,Space Shuttle Endeavour,STS-49,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-06-25,16:12:00,Space Shuttle Columbia,STS-50,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-07-31,13:56:00,Space Shuttle Atlantis,STS-46,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1992-08-09,08:00:00,Long March 2D,FSW-2 No.1,Active,29.75,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-09-12,14:23:00,Space Shuttle Endeavour,STS-47,Retired,450.0,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1992-09-25,17:05:00,Commercial Titan III,Mars Observer,Retired,136.6,Success
